row_index,variety,approval_no,approval_year,level,province,is_hybrid,three_line,two_line,subspecies,season_hint,region_group,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,gain_prod_pct,duration_d,duration_diff_d,plant_height_cm,panicles_10k_mu,panicle_len_cm,grains_per_panicle,seed_setting_pct,tgw_g,blast_index_mean,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,blb_text,bph_grade,heat_text,cold_text,head_rice_pct,chalkiness_deg_pct,chalky_grain_pct,amylose_pct,gel_mm,lw_ratio,alkali,quality_grade,quality_std,is_winall,applicant,source_text_len
25,隆两优534,国审稻2016603,2016.0,国审,,True,False,True,籼,晚稻,华南感光晚籼组,510.58,10.57,博优998,489.19,13.53,118.7,3.5,108.4,17.4,22.2,,82.2,24.6,3.1,3.1,,中抗稻瘟病,9.0,高感白叶枯病,7.0,,,63.7,3.8,16.3,15.0,82.0,3.3,,3.0,《优质稻谷》,False,,465
26,欣荣优华占,湘审稻2013024,2013.0,省审,湘,True,True,False,,晚稻,,542.63,4.0,天优华占,,,118.2,,103.3,20.5,,152.0,81.6,23.9,,,,,,,,,,69.6,2.8,20.0,15.0,80.0,3.0,3.0,,,False,中国水稻研究所、湖南金色农华种业科技有限公司,459
27,深两优862,国审稻2015035,2015.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,630.0,,丰两优四号,607.9,3.7,134.0,-1.2,111.1,18.1,25.0,179.9,85.1,24.6,4.7,4.7,,感稻瘟病,5.0,中感白叶枯病,7.0,抽穗期耐热性较强,,53.5,1.9,14.0,11.5,76.0,3.2,,,,False,南昌市德民农业科技有限公司、临湘市兆农科技研发中心,407
28,晶两优1212,国审稻2016601,2016.0,国审,,True,False,True,籼,晚稻,华南感光晚籼组,510.58,10.57,博优998,494.17,14.08,116.9,1.8,104.2,17.3,23.0,,87.9,24.2,4.0,4.0,,中感稻瘟病,7.0,感白叶枯病,9.0,,,66.7,1.8,9.7,15.1,74.0,3.2,,3.0,《优质稻谷》,False,,467
29,Y两优1998,湘审稻2014007,2014.0,省审,湘,True,False,True,,中稻,,624.36,3.19,Y两优1号,,,140.4,,120.1,14.4,,211.0,81.6,25.2,,,,,3.0,,,,,64.0,2.3,29.0,14.0,87.0,3.0,4.2,,,False,湖南希望种业科技股份有限公司,429
30,黄华占,琼审稻2008010,2008.0,省审,琼,True,False,False,籼,,,,,,319.37,8.15,,,,,,118.0,85.0,23.9,,,,,,,,,,,,,,,,,2.0,,False,广东省农业科学院水稻研究所,431
31,丰两优香一号,国审稻2007017,2007.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,568.7,6.17,Ⅱ优838,570.31,7.8,130.2,,116.9,16.2,23.8,168.6,82.0,27.0,7.3,7.3,,,,,,,,61.9,4.1,36.0,16.3,58.0,3.0,,,,False,合肥丰乐种业股份有限公司,429
32,丰两优香一号,国审稻2007017,2007.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,568.7,6.17,Ⅱ优838,570.31,7.8,130.2,,116.9,16.2,23.8,168.6,82.0,27.0,7.3,7.3,,,,,,,,61.9,4.1,36.0,16.3,58.0,3.0,,,,False,合肥丰乐种业股份有限公司,429
33,Y两优香2号,湘审稻2009031,2009.0,省审,湘,True,False,True,籼,晚籼,,554.95,0.93,汕优63,,,127.0,,108.0,17.0,,172.2,78.2,25.8,,,,,,,,,,66.7,2.9,19.0,16.2,70.0,2.9,6.9,,,False,湖南中江种业有限公司、国家杂交水稻工程研究中心,443
34,和两优1号,桂审稻2014029,2014.0,省审,桂,True,False,True,籼,中稻,,,,中浙优1号,583.8,9.78,142.0,,104.5,18.5,23.1,150.2,85.0,24.0,6.5,6.5,,感稻瘟病,7.0,,,,,63.8,2.2,,14.7,78.0,3.4,,,,False,广西恒茂农业科技有限公司,576
35,晶两优1377,国审稻2016608,2016.0,国审,,True,False,True,籼,中稻,长江上游中籼迟熟组,614.03,0.04,F优498,637.72,2.73,158.5,4.3,108.9,15.74,24.2,,80.6,24.7,3.8,3.8,,中感稻瘟病,,,9.0,,,68.1,1.4,6.0,16.4,62.0,3.0,,2.0,《优质稻谷》,False,,453
36,新两优1671,皖稻2012019,2012.0,省审,皖,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,166
37,Y两优1号,国审稻2008001,2008.0,国审,,True,False,True,籼,双季,华南早籼组,503.8,3.32,Ⅱ优128,486.1,2.97,133.2,0.1,114.7,18.5,23.6,133.3,82.2,26.0,5.1,5.1,,,5.0,,7.0,,,64.0,3.9,27.0,13.0,73.0,3.0,,,,False,湖南杂交水稻研究中心,450
38,旱优73,皖稻2014024,2014.0,省审,皖,False,True,False,,,,,,,,,123.0,,105.0,19.0,,137.0,86.0,27.0,,,,,,,,,,,,,,,,,,,False,,253
39,五优308,粤审稻2006059,2006.0,省审,粤,True,True,False,,,,,,种中9优207,448.2,,,,,,,,76.7,,,,,高抗稻瘟病,,感白叶枯病,,,,,,,25.6,72.0,2.8,,,国标,False,广东省农业科学院水稻研究所,383
