row_index,variety,approval_no,approval_year,level,province,is_hybrid,three_line,two_line,subspecies,season_hint,region_group,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,gain_prod_pct,duration_d,duration_diff_d,plant_height_cm,panicles_10k_mu,panicle_len_cm,grains_per_panicle,seed_setting_pct,tgw_g,blast_index_mean,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,blb_text,bph_grade,heat_text,cold_text,head_rice_pct,chalkiness_deg_pct,chalky_grain_pct,amylose_pct,gel_mm,lw_ratio,alkali,quality_grade,quality_std,is_winall,applicant,source_text_len,region,season,breeding_system,applicant_type,n_applicants,quality_top2,neck_blast_ok,blast_susceptible_text,flag_yield_outlier,flag_duration_outlier
1139,中浙优2838（原名：中浙A/2838）,国审稻2003066,2003.0,国审,,True,True,False,籼,双季,南方稻区晚籼中迟熟优质组,,,汕优46,464.6,0.36,121.2,,104.0,18.5,25.6,131.8,71.9,27.2,,,,,5.0,,9.0,,,48.3,3.9,,16.2,56.0,3.2,,,,False,中国水稻研究所，浙江省种子公司,376,Other/Unspecified,Late,Three-line hybrid,Joint,2,,,False,False,False
616,甬优3号,国审稻2003067,2003.0,国审,,True,True,False,粳,单季,南方稻区单季晚粳组,,,秀水63,,2.42,146.4,,109.4,18.1,20.1,133.4,87.2,29.4,,,,,5.0,,9.0,,,63.7,1.9,,17.4,67.5,2.0,,,,False,宁波市农科院作物所，宁波市种子公司,392,Other/Unspecified,Late,Three-line hybrid,Joint,2,,,False,False,False
683,常优1号（原名：常优99-1）,国审稻2003068,2003.0,国审,,True,True,False,粳,单季,南方稻区单季晚粳组,,,秀水63,,6.57,145.9,,105.0,19.1,18.2,147.0,81.9,27.7,,,,,5.0,,9.0,,,70.9,5.9,,16.0,69.5,1.8,,,,False,江苏省常熟市农业科学研究所,390,Other/Unspecified,Late,Three-line hybrid,Public,1,,,False,False,False
1649,II优527,国审稻2003069,2003.0,国审,,True,True,False,籼,中稻,,,,汕优63,562.0,5.6,153.0,,115.9,16.7,24.5,162.1,84.5,29.3,,,,,,,,,,,,,,43.0,2.6,,,,False,成都西部农业工程研究所，四川农业大学水稻研究所，四川省种子站,358,Other/Unspecified,Single/Mid,Three-line hybrid,Public,3,,,False,False,False
1544,福优325,国审稻2003070,2003.0,国审,,True,True,False,籼,中稻,,,,汕优63,546.0,2.6,150.5,,112.2,17.7,24.7,153.7,86.7,27.9,,,,,,,,,,,,,,42.0,2.5,,,,False,湖北省恩施自治州红庙农科所,361,Other/Unspecified,Single/Mid,Three-line hybrid,Public,1,,,False,False,False
1851,福优218,国审稻2003071,2003.0,国审,,True,True,False,籼,中稻,,,,汕优63,548.0,3.0,152.5,,117.9,17.4,24.4,162.7,83.4,27.2,,,,,,,,,,,,,,30.0,2.5,,,,False,湖北省恩施自治州农科所,378,Other/Unspecified,Single/Mid,Three-line hybrid,Public,1,,,False,False,False
1082,II优58,国审稻2003072,2003.0,国审,,True,True,False,籼,中稻,,,,汕优63,,,152.0,,114.1,17.1,24.0,163.5,84.2,27.3,,,,,,,,,,,,,,,2.4,,,,False,湖北省恩施自治州红庙农科所,383,Other/Unspecified,Single/Mid,Three-line hybrid,Public,1,,,False,False,False
380,连嘉粳1号（原名：连9805）,国审稻2003073,2003.0,国审,,False,False,False,粳,,,,,豫粳6号,569.0,3.4,154.3,,107.2,22.0,,150.5,85.1,25.4,,,,,,,,,,70.4,1.6,,16.5,88.0,,,,,False,连云港市农业技术推广中心,333,Other/Unspecified,Unspecified,Inbred/Other,Public,1,,,False,False,False
497,皖稻54,国审稻2003074,2003.0,国审,,False,False,False,粳,,,,,豫粳6号,525.3,4.6,156.2,,105.6,,,173.2,77.2,26.1,,,,,,,,,,68.2,2.5,,16.7,79.0,,,,,False,安徽省阜阳市农科所,363,Other/Unspecified,Unspecified,Inbred/Other,Public,1,,,False,False,False
554,两优培粳（原名：两优协粳）,国审稻2003075,2003.0,国审,,True,False,True,粳,,,,,中作93,604.8,,164.2,,118.4,,,173.6,83.6,24.2,,,,,,,,,,67.4,,,20.7,77.0,,,,,False,河南省信阳市农科所,356,Other/Unspecified,Unspecified,Two-line hybrid,Public,1,,,False,False,False
646,津优2003,国审稻2003076,2003.0,国审,,True,True,False,粳,,,,,中作93,548.0,,178.7,,118.8,22.9,,207.9,63.5,25.8,,,,,,,,,,62.3,6.2,,16.9,85.0,,,,,False,天津市水稻研究所,372,Other/Unspecified,Unspecified,Three-line hybrid,Public,1,,,False,False,False
578,津优29,国审稻2003077,2003.0,国审,,True,True,False,粳,,,,,中作93,540.9,,170.9,,106.3,,,162.6,88.1,24.6,,,,,,,,,,69.6,4.1,,16.5,82.0,,,,,False,天津市水稻研究所,350,Other/Unspecified,Unspecified,Three-line hybrid,Public,1,,,False,False,False
782,津原45,国审稻2003078,2003.0,国审,,False,False,False,粳,,,,,中作93,502.0,,178.8,,115.4,,,132.6,84.7,24.75,,,,,,,,,,71.6,1.1,,16.6,91.0,,,,,False,天津市原种场,323,Other/Unspecified,Unspecified,Inbred/Other,Unknown,1,,,False,False,False
