variety,approval_no,year,type,region_group,region,yield_kg_per_mu,yield_gain_pct,ck,prod_trial,duration_d,quality_grade,blast_index,blast_text,neck_blast_max,blb,bph,heat_cold,applicant,row_index
荃9优220,国审稻20206096,2020,三系籼,长江中下游中籼迟熟组,长江中下游,628.42,5.09,丰两优四号,642.68 (增产4.29%),131.5,三级,3.8/3.9,中抗稻瘟病,3,9,9,抽穗期耐热性一般,江苏中江种业股份有限公司 / 江苏中江种业股份有限公司、安徽荃银高科种业股份有限公司、中国科学院遗传与发育生物学研究所,6175
徽两优粤禾丝苗,国审稻20206106,2020,两系籼,长江中下游中籼迟熟组,长江中下游,673.52,5.47,丰两优四号,667.22 (增产4.20%),130.7,三级,4.3/4.1,中感稻瘟病,5,7,9,抽穗期耐热性较强,西科农业集团股份有限公司 / 西科农业集团股份有限公司、广东省农业科学院水稻研究所、四川台沃种业有限责任公司,3241
荃优607,国审稻20206150,2020,三系籼,长江中下游中籼迟熟组,长江中下游,640.47,7.25,丰两优四号,654.82 (增产6.56%),126.0,一级,3.9/3.8,中感稻瘟病,5,7,9,抽穗期耐热性强,中国种子集团有限公司 / 中国种子集团有限公司、安徽荃银高科种业股份有限公司,53
新两优611,国审稻20206160,2020,两系籼,长江中下游麦茬籼稻组,长江中下游,653.25,2.96,,684.1 (增产6.01%),124.7,一级,3.9/5.2,中感稻瘟病,5,5,7,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,4195
荃早优丝苗,国审稻20206161,2020,三系籼,长江中下游麦茬籼稻组,长江中下游,646.22,1.88,,662.80 (增产1.80%),124.2,二级,4.1/4.9,中感稻瘟病,5,7,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司、广东省农业科学院水稻研究所,6865
荃优851,国审稻20206219,2020,三系籼,华南感光晚籼组,华南,485.13,2.37,丰两优四号,482.08 (增产3.76%),118.9,二级,3.7/3.7,中感稻瘟病,5,5,9,抽穗期耐热性一般,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,3300
荃9优801,国审稻20210002,2021,两系籼,华南早籼组,华南,522.72,1.38,天优华占,534.84 (增产0.30%),122.2,二级,4.1/4.2,中感稻瘟病,5,5,9,,,5051
荃香优丝苗,国审稻20210015,2021,三系籼,华南早籼组联合体,华南,527.3,4.49,天优华占,547.9 (增产3.9%),117.5,,4.3/4.6,中感稻瘟病,5,7,9,,,4202
荃两优2118,国审稻20210020,2021,两系籼,华南早籼组联合体,华南,572.96,6.6,天优华占,556.9 (增产7.2%),120.2,一级,5.3/4.5,中感稻瘟病,5,7,9,抽穗期耐热性较强,,3282
荃优10号,国审稻20210033,2021,三系籼,长江上游中籼迟熟组,长江上游,640.86,2.93,丰两优四号,608.95 (增产4.43%),151.4,三级,5.0/3.6,感稻瘟病,7,5,9,抽穗期耐热性较强,,3722
荃优58,国审稻20210039,2021,三系籼,长江上游中籼迟熟组,长江上游,635.51,2.93,丰两优四号,614.98 (增产2.41%),153.9,二级,2.9/3.3,中抗稻瘟病,3,7,9,抽穗期耐热性较强,,3699
荃优851,国审稻20210041,2021,三系籼,长江上游中籼迟熟组,长江上游,634.03,1.82,,623.72 (增产4.71%),152.8,一级,3.9/3.6,中感稻瘟病,5,,9,抽穗期耐热性一般,,3870
荃优5438,国审稻20210055,2021,三系籼,长江上游中籼迟熟组联合体,长江上游,680.02,7.98,,665.80 (增产6.47%),151.4,二级,4.6/3.6,感稻瘟病,7,,9,抽穗期耐热性强,,4209
荃香优89,国审稻20210080,2021,三系籼,长江上游中籼迟熟组联合体,长江上游,668.11,9.28,丰两优四号,648.06 (增产5.23%),155.3,二级,5.4/5.4,感稻瘟病,7,3,9,抽穗期耐热性较强,,856
荃优雅占,国审稻20210084,2021,三系籼,长江上游中籼迟熟组联合体,长江上游,673.83,6.97,,671.0 (增产3.73%),154.0,,3.9/3.1,中感稻瘟病,5,,9,抽穗期耐热性强,,4589
荃优鄂丰丝苗,国审稻20210097,2021,三系籼,长江上游中籼迟熟组联合体,长江上游,701.26,6.55,丰两优四号,667.20 (增产6.01%),155.1,二级,3.0/3.6,中感稻瘟病,5,7,9,抽穗期耐热性强,,973
徽两优美香新占,国审稻20210115,2021,两系籼,长江上游中籼迟熟组联合体,长江上游,682.65,3.68,丰两优四号,657.60 (增产4.49%),153.9,二级,4.7/5.0,感稻瘟病,7,5,9,抽穗期耐热性强,,3463
荃两优069,国审稻20210116,2021,两系籼,长江上游中籼迟熟组联合体,长江上游,685.46,4.10,,650.69 (增产3.39%),155.5,二级,3.8/3.2,中感稻瘟病,5,,9,抽穗期耐热性较强,,3617
全两优1822,国审稻20210121,2021,两系籼,长江中下游中籼迟熟组,长江中下游,619.34,1.96,丰两优四号,653.00 (增产8.13%),134.5,三级,3.2/3.0,中抗稻瘟病,3,7,9,抽穗期耐热性较强,,3356
荃优291,国审稻20210125,2021,三系籼,长江中下游中籼迟熟组,长江中下游,626.44,4.34,丰两优四号,651.35 (增产4.91%),,,,,,,,,,6270
荃优60,国审稻20210132,2021,三系籼,长江中下游中籼迟熟组,长江中下游,646.24,5.64,丰两优四号,649.87 (增产3.65%),134.4,三级,3.3/3.5,中抗稻瘟病,3,7,9,抽穗期耐热性较强,,6165
徽两优007,国审稻20210140,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,647.1,5.6,丰两优四号,632.7 (增产6.0%),131,,5.3/4.3,感稻瘟病,7,7,9,抽穗期耐热性一般,,5723
徽两优27占,国审稻20210152,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,652.3,2.6,丰两优四号,609.5 (增产3.3%),127.8,三级,3.3/3.6,中感稻瘟病,5,9,9,抽穗期耐热性较强,,4849
浙大荃优1610,国审稻20210153,2021,三系籼,长江中下游中籼迟熟组联合体,长江中下游,656.0,3.2,丰两优四号,620.1 (增产5.1%),131.4,二级,4.3/4.4,感稻瘟病,7,5,9,抽穗期耐热性较弱,,4254
徽两优慧占,国审稻20210158,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,656.20,5.10,丰两优四号,667.86 (增产6.94%),132.6,,4.5/3.9,感稻瘟病,7,7,9,抽穗期耐热性较强,,3395
徽两优008,国审稻20210160,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,674.4,4.6,丰两优四号,641.3 (增产4.8%),137,三级,2.5/3.8,中感稻瘟病,5,7,9,抽穗期耐热性较强,,5041
荃两优136,国审稻20210161,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,664.49,3.29,丰两优四号,663.27 (增产8.86%),134.2,,3.5/3.2,中抗稻瘟病,3,5,9,抽穗期耐热性较强,,4069
徽两优香丝苗,国审稻20210162,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,656.05,0.82,丰两优四号,627.36 (增产3.23%),132.1,,4.0/3.8,中抗稻瘟病,3,7,9,,,3259
荃优绿丝苗,国审稻20210163,2021,三系籼,长江中下游中籼迟熟组联合体,长江中下游,662.38,3.18,丰两优四号,655.81 (增产8.48%),130.7,,3.7/3.7,中感稻瘟病,5,7,9,抽穗期耐热性较强,,3786
荃优美香新占,国审稻20210164,2021,三系籼,长江中下游中籼迟熟组联合体,长江中下游,669.62,7.02,丰两优四号,643.25 (增产7.46%),132.2,三级,5.3/4.2,中感稻瘟病,5,7,9,抽穗期耐热性强,,3567
荃优8016,国审稻20210177,2021,三系籼,长江中下游中籼迟熟组联合体,长江中下游,659.76,5.99,丰两优四号,644.33 (增产8.32%),134,,4.1/4.3,中感稻瘟病,5,7,9,抽穗期耐热性较强,,4391
徽两优699,国审稻20210178,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,642.70,4.85,丰两优四号,607.89 (增产3.04%),133,,3.9/4.7,感稻瘟病,7,9,9,抽穗期耐热性一般,,6646
荃优2289,国审稻20210181,2021,三系籼,长江中下游中籼迟熟组联合体,长江中下游,675.73,4.85,丰两优四号,644.34 (增产13.03%),133.1,三级,4.4/4.3,感稻瘟病,7,7,9,抽穗期耐热性较强,,6941
徽两优636,国审稻20210197,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,648.59,5.77,丰两优四号,646.27 (增产7.20%),133.3,二级,5.6/5.8,感稻瘟病,7,5,9,抽穗期耐热性较强,,5634
徽两优绿丝苗,国审稻20210205,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,661.98,3.64,丰两优四号,638.57 (增产4.79%),131.0,二级,3.7/3.2,中感稻瘟病,5,7,9,抽穗期耐热性较强,,4580
徽两优赋丝占,国审稻20210206,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,633.53,4.24,丰两优四号,609.74 (增产3.11%),130.2,,3.2/3.4,中抗稻瘟病,3,7,9,抽穗期耐热性较强,,6128
徽两优985,国审稻20210223,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,637.82,2.92,丰两优四号,619.99 (增产9.20%),131.5,三级,4.0/3.3,中感稻瘟病,5,5,9,抽穗期耐热性较强,,3655
科荃优4302,国审稻20210242,2021,三系籼,长江中下游中籼迟熟组联合体,长江中下游,645.42,6.99,丰两优四号,634.81 (增产5.74%),131.7,二级,3.6/4.3,中感稻瘟病,5,1,9,抽穗期耐热性强,,3756
荃两优鄂丰丝苗,国审稻20210264,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,661.31,3.14,丰两优四号,656.18 (增产3.30%),134.0,二级,3.0/2.8,中抗稻瘟病,3,7,9,抽穗期耐热性较强,,3573
箴两优荃晶丝苗,国审稻20210265,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,663.86,4.53,丰两优四号,651.77 (增产7.81%),130.1,二级,3.7/3.5,中感稻瘟病,5,7,9,抽穗期耐热性较强,,4215
荃优禾广丝苗,国审稻20210272,2021,三系籼,长江中下游中籼迟熟组联合体,长江中下游,664.21,4.57,丰两优四号,643.54 (增产5.89%),131.4,三级,3.5,中感稻瘟病,5,5,9,抽穗期耐热性较强,,4395
荃两优美香新占,国审稻20210296,2021,两系籼,长江中下游中籼迟熟组联合体,长江中下游,658.81,3.50,丰两优四号,639.10 (增产4.89%),130.4,二级,4.2/3.5,中感稻瘟病,5,5,9,抽穗期耐热性较强,,4835
荃早优851,国审稻20210300,2021,三系籼,长江中下游麦茬籼稻组,长江中下游,651.28,0.40,,673.58 (增产2.32%),124.3,二级,3.1/4.8,中感稻瘟病,5,5,9,耐冷性一般,,4457
荃早优晶占,国审稻20210302,2021,三系籼,长江中下游麦茬籼稻组,长江中下游,689.72,5.95,,608.96 (增产4.31%),124.5,三级,4.4/4.0,中感稻瘟病,5,7,9,,,4727
荃早优鄂丰丝苗,国审稻20210308,2021,三系籼,长江中下游麦茬籼稻组联合体,长江中下游,669.24,5.48,,631.60 (增产5.60%),121.2,三级,3.2/3.2,中抗稻瘟病,3,7,9,,,7819
荃优879,国审稻20210358,2021,三系籼,华南感光晚籼组联合体,华南,502.38,5.36,,552.83 (增产3.49%),114.2,二级,3.0/2.5,中抗稻瘟病,3,5,9,,,3260
荃粳优70,国审稻20210371,2021,三系粳,长江中下游单季晚粳组,长江中下游,713.24,6.98,,621.06 (增产4.69%),145.2,三级,5.5/5.0,中感稻瘟病,,5,9,,,5660
荃优169,国审稻20216012,2021,三系籼,长江上游中籼迟熟组,长江上游,647.60,4.80,,647.48 (增产5.87%),150.0,二级,3.4/4.7,感稻瘟病,7,,9,抽穗期耐热性较强,,3709
荃香优575,国审稻20216013,2021,三系籼,长江上游中籼迟熟组,长江上游,650.37,5.18,,646.14 (增产5.76%),149.8,二级,2.7/2.9,中抗稻瘟病,3,,9,抽穗期耐热性较强,,4535
荃广优851,国审稻20216014,2021,三系籼,长江上游中籼迟熟组,长江上游,641.21,3.74,丰两优四号,638.80 (增产4.63%),149.3,一级,3.3/3.3,中感稻瘟病,5,9,9,抽穗期耐热性较强,,4373
荃两优1606,国审稻20216015,2021,两系籼,长江上游中籼迟熟组,长江上游,649.16,4.13,,654.89 (增产7.16%),151.0,一级,3.0/3.6,中感稻瘟病,5,,7,抽穗期耐热性较强,,4293
荃优银泰香占,国审稻20216016,2021,三系籼,长江上游中籼迟熟组,长江上游,635.77,1.94,丰两优四号,629.89 (增产3.22%),150.4,一级,3.3/3.4,中感稻瘟病,5,5,9,抽穗期耐热性强,,3568
荃优836,国审稻20216017,2021,三系籼,长江上游中籼迟熟组,长江上游,652.61,0.65,,636.82 (增产1.89%),153.8,二级,3.2/3.8,感稻瘟病,7,,9,抽穗期耐热性较强,,56
荃广优822,国审稻20216085,2021,三系籼,长江中下游中籼迟熟组,长江中下游,646.72,5.41,丰两优四号,610.05 (增产5.79%),128.0,二级,4.1/4.5,感稻瘟病,7,5,9,抽穗期耐热性强,,3745
